Content,Tweet,text,compound,polarity
nggota omisi emilihan mum  ugust ellaz memprediksi jumlah pemilih muda dari kalangan usia  tahun di emilu  berjumlah  juta orang ngka ini menjadi tantangan bagi pihaknya dalam memberikan edukasi agar tingkat kepercayaanâ¦,"['pleno', 'hadir', 'bawaslu', 'partai', 'politik', 'tetap', 'dps', 'milu', '2024', 'kota', 'kalong', '232063', 'pilih', '116668', 'pilih', 'laki', 'laki', '115395', 'pilih', 'perempuan', '27', 'lurah', '881', 'tps']",pleno hadir bawaslu partai politik tetap dps milu 2024 kota kalong 232063 pilih 116668 pilih laki laki 115395 pilih perempuan 27 lurah 881 tps,-3,negative
tertanggal  aret,"['dps', 'milu', '2024', 'kota', 'kalong', 'tetap', '232', 'ribu', 'pemilihkpu', 'kota', 'kalong', 'gelar', 'rapat', 'pleno', 'buka', 'rekapitulasi', 'daftar', 'pilih', 'hasil', 'mutakhir', 'tetap', 'daftar', 'pilih', 'tingkat', 'kota', 'kalong', 'milu', 'tahun', '2024', 'rabu', '5', 'april', '2023', 'aula', 'kpu']",dps milu 2024 kota kalong tetap 232 ribu pemilihkpu kota kalong gelar rapat pleno buka rekapitulasi daftar pilih hasil mutakhir tetap daftar pilih tingkat kota kalong milu tahun 2024 rabu 5 april 2023 aula kpu,12,positive
artai erindo ptimis olos arliamentary hreshold pada emilu,"['news', 'probolinggo', 'kamis', '6', 'april', '2023', 'komisi', 'pilih', 'umum', 'kpu', 'kota', 'probolinggo', 'gelar', 'rapat', 'pleno', 'rekapitulasi', 'daftar', 'pilih', 'dps']",news probolinggo kamis 6 april 2023 komisi pilih umum kpu kota probolinggo gelar rapat pleno rekapitulasi daftar pilih dps,-3,negative
angan aget,"['kawal', 'milu', '2024', 'politik', 'identitas', 'ulang', 'moneypolitik']",kawal milu 2024 politik identitas ulang moneypolitik,-2,negative
g berijazah palsu aja bisa lolos bahkan seluruh partai iamð«¢ð,"['guru', 'ui', 'ingat', 'milu', '2024', 'manfaat', 'politik', 'identitas', 'politikidentitas']",guru ui ingat milu 2024 manfaat politik identitas politikidentitas,6,positive
engejutkan awaslu emukan elasan ibu parat asuk aftar emilih emilu,"['jaga', 'milu', '2024', 'jujur', 'adil', 'pemilujujur']",jaga milu 2024 jujur adil pemilujujur,3,positive
ivumasolri,"['temanpemilih', 'ketua', 'kpu', 'hasyim', 'asyari', 'anggota', 'kpu', 'mochammad', 'afifuddin', 'idham', 'holik', 'amp', 'parsadaan', 'harahap', 'damping', 'deputi', 'bidang', 'dukung', 'teknis', 'eberta', 'kawima', 'tutup', 'bimtek', 'tangan', 'langgar', 'administratif', 'amp', 'selesai', 'sengketa', 'proses', 'milu', '2024', 'batam', '542023']",temanpemilih ketua kpu hasyim asyari anggota kpu mochammad afifuddin idham holik amp parsadaan harahap damping deputi bidang dukung teknis eberta kawima tutup bimtek tangan langgar administratif amp selesai sengketa proses milu 2024 batam 542023,0,neutral
umasoldaatim,"['sobatjdih', 'ketua', 'divisi', 'hukum', 'awas', 'kpu', 'kabupaten', 'way', 'kanan', 'doan', 'endedish', 'pltkasubbag', 'hukum', 'sdm', 'moh', 'ade', 'candrase', 'ikut', 'bimtek', 'gelombang', '29', '31', 'maret', '2023', 'surabaya', 'tangan', 'langgar', 'administratif', 'selesai', 'sengketa', 'milu', '2024']",sobatjdih ketua divisi hukum awas kpu kabupaten way kanan doan endedish pltkasubbag hukum sdm moh ade candrase ikut bimtek gelombang 29 31 maret 2023 surabaya tangan langgar administratif selesai sengketa milu 2024,-3,negative
polrestubanterkini,"['jelang', 'milu', '2024', 'rutan', 'tanjung', 'siap', 'tps', 'wbpkumhamkalselfaisolalikanwil', 'kemenkumham', 'kalselfaisol', 'ali']",jelang milu 2024 rutan tanjung siap tps wbpkumhamkalselfaisolalikanwil kemenkumham kalselfaisol ali,4,positive
olsekenori,"['diskusi', 'tarik', 'kait', 'persiapanpersiapan', 'jelang', 'milu', '2024', 'rapat', 'pleno', 'buka', 'rekapitulasi', 'daftar', 'pilih', 'hasil', 'mutakhir', 'milu', '2024']",diskusi tarik kait persiapanpersiapan jelang milu 2024 rapat pleno buka rekapitulasi daftar pilih hasil mutakhir milu 2024,7,positive
abar aja menunggu caprescawapres resmi dari  jelang hari emilu  baru dipilih yg dosanya paling sedikit  alau nggak ada ya lewat aja,"['kawal', 'milu', '2024', 'politik', 'identitas', 'ulang', 'pemilujujur']",kawal milu 2024 politik identitas ulang pemilujujur,-2,negative
jangan lupa jangan pilih apres dan artai yg menyebabkan kita batal jadi uan umah,"['perppu', 'milu', 'sah', 'milu', '2024', 'sesuai', 'jadwalpolitikidentitaspemilujujurmoneypolitik']",perppu milu sah milu 2024 sesuai jadwalpolitikidentitaspemilujujurmoneypolitik,3,positive
alaskan rasa kecewa kita,"['kesah', 'perppu', 'milu', 'puan', 'pasti', 'milu', '2024', 'sesuai', 'jadwalpolitikidentitaspemilujujurmoneypolitik']",kesah perppu milu puan pasti milu 2024 sesuai jadwalpolitikidentitaspemilujujurmoneypolitik,8,positive
ubernur awa imur,"['mendagri', 'apresiasi', 'kait', 'kesah', 'ruu', 'amp', 'perppu', 'milu', 'undangundang', 'dlm', 'rapat', 'paripurna', 'dpripemerintah', 'kemendagri', 'dptelah', 'rampung', 'landas', 'konstitusional', 'milu', '2024', 'lancar', 'tugas', 'selenggara', 'milu', 'sukses', 'milu', '2024']",mendagri apresiasi kait kesah ruu amp perppu milu undangundang dlm rapat paripurna dpripemerintah kemendagri dptelah rampung landas konstitusional milu 2024 lancar tugas selenggara milu sukses milu 2024,12,positive
ix si besok pas pemilu  gue coblosin semua gapain golput nanti di pakek sama orang kek bengini,"['kesah', 'perppu', 'milu', 'puan', 'pasti', 'milu', '2024', 'sesuai', 'jadwal', 'politikidentitaspemilujujurmoneypolitik']",kesah perppu milu puan pasti milu 2024 sesuai jadwal politikidentitaspemilujujurmoneypolitik,8,positive
emoga apa yg dikatakan si arteria menghancurkan partainya si pdip di pemilu  kalo masih ada orang yg milih pdip kebangetan banget tuh orang jangan ditemenin,"['anggota', 'komisi', 'dpmuhammad', 'farhan', 'tingkat', 'serang', 'senjata', 'organisasi', 'papua', 'merdeka', 'opm', 'hubung', 'milu', '2024', 'mendatangorganisasipapuamerdeka']",anggota komisi dpmuhammad farhan tingkat serang senjata organisasi papua merdeka opm hubung milu 2024 mendatangorganisasipapuamerdeka,-2,negative
esok pemilu  ya masih menang telak,"['news', 'ogan', 'komering', 'ilir', 'kamis', '6', 'april', '2023', 'pilih', 'umum', 'kpu', 'kabupaten', 'ogan', 'komering', 'ilir', 'oki', 'sumatera', 'selatan', 'sumsel', 'tetap', '568256', 'daftar', 'pilih', 'dps', 'pilih', 'umum', 'milu', '2024']",news ogan komering ilir kamis 6 april 2023 pilih umum kpu kabupaten ogan komering ilir oki sumatera selatan sumsel tetap 568256 daftar pilih dps pilih umum milu 2024,-3,negative
ada apakah,"['rabu', '01', 'maret', '2023panwaslucam', 'kasihan', 'rapat', 'koordinasi', 'siap', 'milu', '2024', 'intel', 'polsek', 'kasihan', 'panwaslu', 'desa', 'camat', 'kasihanbawaslubantul', 'panwascamkasihan', 'bawaslu', 'antipolitikuang', 'panwaslu', 'pkd', 'panwascam', 'salamawas', 'kapanewonkasihan']",rabu 01 maret 2023panwaslucam kasihan rapat koordinasi siap milu 2024 intel polsek kasihan panwaslu desa camat kasihanbawaslubantul panwascamkasihan bawaslu antipolitikuang panwaslu pkd panwascam salamawas kapanewonkasihan,2,positive
erindo atola orong enguatan aksi artai di  saat emilu,"['temanpemilih', 'yuk', 'cek', 'nama', 'pasti', 'nama', 'daftar', 'pilih', 'milu', '2024yuk', 'sukses', 'milu', '2024', 'tanggap', 'harga', 'kamikpumelayani', 'pemiluserentak', '2024']",temanpemilih yuk cek nama pasti nama daftar pilih milu 2024yuk sukses milu 2024 tanggap harga kamikpumelayani pemiluserentak 2024,8,positive
zinkan  cabut  u tidak lagi memilih  akil etua mum artai di emilu,"['mendagri', 'apresiasi', 'kait', 'kesah', 'ruu', 'amp', 'perppu', 'milu', 'undangundang', 'dlm', 'rapat', 'paripurna', 'dpripemerintah', 'kemendagri', 'dptelah', 'rampung', 'landas', 'konstitusional', 'vu', 'sukses', 'milu', '2024']",mendagri apresiasi kait kesah ruu amp perppu milu undangundang dlm rapat paripurna dpripemerintah kemendagri dptelah rampung landas konstitusional vu sukses milu 2024,8,positive
adilah bagian dari emokrasi di ndonesia ðð,"['milu', '2024', 'daerah', 'datang', 'putraputra', 'baik', 'masingmasing', 'dekat', 'sisi', 'daerah', 'sumatera', 'utara', 'daerahpemiluserentak', '2024', 'simalungun', 'batak', 'rudolfsaragih', 'sumut']",milu 2024 daerah datang putraputra baik masingmasing dekat sisi daerah sumatera utara daerahpemiluserentak 2024 simalungun batak rudolfsaragih sumut,-5,negative
ââ,"['survei', 'brin', 'ornop', 'perempuan', 'mayoritas', 'ambil', 'peran', 'anggotakadernya', 'bacaleg', 'milu', '2024']",survei brin ornop perempuan mayoritas ambil peran anggotakadernya bacaleg milu 2024,-5,negative
epada seluruh perwakilan partai politik peserta pemilu  kecamatan urwantoro,"['temanpemilih', 'kpu', 'kota', 'solok', 'laksana', 'rekapitulasi', 'tetap', 'dps', 'milu', '2024', 'tingkat', 'kota', 'solok', 'hasil', 'rapat', 'pleno', 'buka', 'tetap', 'dps', 'kabupaten', 'solok', '55991', 'sebar', '2', 'camat', '13', 'lurah', '236', 'tpskpumelayani']",temanpemilih kpu kota solok laksana rekapitulasi tetap dps milu 2024 tingkat kota solok hasil rapat pleno buka tetap dps kabupaten solok 55991 sebar 2 camat 13 lurah 236 tpskpumelayani,6,positive
ntuk enghadiri,"['aparatur', 'tegak', 'hukum', 'bahaya', 'propaganda', 'jahat', 'utk', 'keruh', 'stabilitas', 'kamtibmas', 'jelang', 'milu', '2024']",aparatur tegak hukum bahaya propaganda jahat utk keruh stabilitas kamtibmas jelang milu 2024,-6,negative
apat leno  terbuka rekapitulasi daftar pemilih hasil rekapitulasi  ecamatan urwantoro,"['dukung', 'kuat', 'rawan', 'sahabat', 'ganjar', 'jatim', 'gandeng', 'generasi', 'milenial', 'jelang', 'milu', '2024nabi', 'muhammad', 'fafa', 'jisoo', 'first', 'win', 'mbah', 'slamet', 'murah', 'al', 'aqsa', 'kim', 'mingyu', 'syiah', 'tomorrowxtogethehallsx', 'windah']",dukung kuat rawan sahabat ganjar jatim gandeng generasi milenial jelang milu 2024nabi muhammad fafa jisoo first win mbah slamet murah al aqsa kim mingyu syiah tomorrowxtogethehallsx windah,1,positive
umonggo,"['kpu', 'jakarta', 'timur', 'tetap', '2394212', 'dps', 'milu', '2024']",kpu jakarta timur tetap 2394212 dps milu 2024,3,positive
esok pemilu  masih menang,"['rapat', 'pleno', 'buka', 'tetap', 'rekapitulasi', 'dps', 'milu', '2024', 'kabupaten', 'lombok', 'timur', 'rincian', 'camat', '21', 'kelurahandesa', '254', 'tps', '4010', 'lakilaki', '487452', 'perempuan', '510092', 'total', '997544pemiluserentak2024']",rapat pleno buka tetap rekapitulasi dps milu 2024 kabupaten lombok timur rincian camat 21 kelurahandesa 254 tps 4010 lakilaki 487452 perempuan 510092 total 997544pemiluserentak2024,1,positive
pa rakyat pada maaf  kondisi global ya,"['harap', 'dr', 'milu', '2024', 'ketua', 'kpu', 'sja', 'bgtu']",harap dr milu 2024 ketua kpu sja bgtu,0,neutral
aunya ada sembakoamplopkaos,"['temanpemilih', 'tau', 'hasil', 'rekapitulasi', 'daftar', 'pilih', 'dps', 'milu', '2024', 'kota', 'magelangdps', 'tetap', 'rapat', 'pleno', 'buka', 'rabu', '542023cek', 'infografis', 'lur']",temanpemilih tau hasil rekapitulasi daftar pilih dps milu 2024 kota magelangdps tetap rapat pleno buka rabu 542023cek infografis lur,-5,negative
erindo arito uala onsolidasi ahas trategi emenangan emilu,"['kader', 'muda', 'surakarta', 'cipta', 'film', 'edukasi', 'milu', '2024', 'juangpdiperjuangankandangbant', '3ng']",kader muda surakarta cipta film edukasi milu 2024 juangpdiperjuangankandangbant 3ng,-2,negative
larifikasi  tentang beredarnya kartu pemilu,"['kpu', 'bengkal', 'tetap', 'dps', 'kabupaten', 'bengkal', '455112', 'pilih', 'bawaslu', 'bengkal', 'ajak', 'masyarakat', 'luas', 'kawal', 'hak', 'pilih', 'bengkal', 'kpu', 'kabupaten', 'bengkal', 'tetap', 'daftar', 'pilih', 'dps', 'milu', '2024', 'kabupaten', 'bengkal']",kpu bengkal tetap dps kabupaten bengkal 455112 pilih bawaslu bengkal ajak masyarakat luas kawal hak pilih bengkal kpu kabupaten bengkal tetap daftar pilih dps milu 2024 kabupaten bengkal,1,positive
apolsek unturaja melalui s anit ntelkam menghadiri undangan apat leno terbuka ekapitulasi aftar pemilih hasil pemutakhiran  pemilu  yang dilaksanakan di ula antor amat iempat empu,"['ketua', 'anggota', 'div', 'teknis', 'ppk', 'kaligesing', 'ikut', 'acara', 'sosialisasi', 'dapil', 'alokasi', 'anggota', 'dpri', 'dprd', 'prov', 'jateng', 'dprd', 'kab', 'purworejo', 'milu', '2024sanjaya', 'inn', '6', 'april', '2023']",ketua anggota div teknis ppk kaligesing ikut acara sosialisasi dapil alokasi anggota dpri dprd prov jateng dprd kab purworejo milu 2024sanjaya inn 6 april 2023,-9,negative
mang geriik emilu  sdh tdk ada alon yg berkualitas nuansa bakal perangngnya sdh terasa di tahun ini susana sdh panas sdh terasa dari byknya isu dan kejadianÂ² di unyat,"['mari', 'cipta', 'kamtibmas', 'kondusif', 'jelang', 'milu', '2024ngortekamtibmas', 'pemilusejukdandamai', 'milu', '2024']",mari cipta kamtibmas kondusif jelang milu 2024ngortekamtibmas pemilusejukdandamai milu 2024,6,positive
antesan  mati matian pengin pemilu  sistim tertutup eh tujuan nya udah jelas biyar lancar atur,"['02', 'april', '2023', 'rapat', 'pleno', 'buka', 'rekapitulasi', 'dphp', 'milu', '2024', 'ppk', 'camat', 'kudu', 'hadir', 'camat', 'kudu', 'kapolsek', 'kudu', 'danramil', 'kudu', 'wakil', 'parpol', 'camat', 'kudu', 'panwaslu', 'camat', 'kudu', 'pps', 'camat', 'kudu', 'kpujombang', 'ppkkecamatankudu', 'milu', '2024']",02 april 2023 rapat pleno buka rekapitulasi dphp milu 2024 ppk camat kudu hadir camat kudu kapolsek kudu danramil kudu wakil parpol camat kudu panwaslu camat kudu pps camat kudu kpujombang ppkkecamatankudu milu 2024,-3,negative
unjungan ini merupakan kegiatan engawasan awal ak ilih dimana tahapan emilu  memasuki tahap penyusunan aftar emilih ementara,"['kib', 'kicocok', 'satu', 'milu', '2024prabowo', 'prabowopresiden', '2024', 'prabowopersatuanindonesia', 'trending', 'presiden', '2024', 'prabowopeduli', 'ikutpakde', 'bersamajuara', 'capres', '2024', 'mendingprabowo', 'dekade', '08', 'milu', '2024', 'indonesia', 'viral', 'kemhan', 'fyp', 'ramah', 'allinprabowo']",kib kicocok satu milu 2024prabowo prabowopresiden 2024 prabowopersatuanindonesia trending presiden 2024 prabowopeduli ikutpakde bersamajuara capres 2024 mendingprabowo dekade 08 milu 2024 indonesia viral kemhan fyp ramah allinprabowo,7,positive
deni uhan esmi ergabung di asdem ulsel isiapkan ertarung di  akassar emilu,"['kesah', 'perppu', 'milu', 'puan', 'pasti', 'milu', '2024politikidentitaspemilujujurmoneypolitik']",kesah perppu milu puan pasti milu 2024politikidentitaspemilujujurmoneypolitik,5,positive
memang tidak berdaya sri mulyani dilindungi  maka pemilu  tidak perlu coblos caleg,"['kadrun', 'asong', 'khilafah', 'kuat', 'hadap', 'umat', 'islam', 'waras', 'bala', 'bantu', 'impor', 'dekat', 'milu', '2024', 'kuat', 'gus', 'bela', 'nkri', 'samle', 'jatuh', 'tangan', 'oposisi']",kadrun asong khilafah kuat hadap umat islam waras bala bantu impor dekat milu 2024 kuat gus bela nkri samle jatuh tangan oposisi,-9,negative
ahun politik pemilu awal thn depan  banyak kasus kasus avid yg menyeret kemenkeu pajak bea cukai  juga ikutan nyerang kasus bola u ditambah kasus hoax n penghinaan yg tdk ditangani polri  akan berat pemilu  dibawah aparat hukum yg lemah,"['adayg', 'laku', 'cabut', 'mandat', 'kuasa', 'milu', '2024']",adayg laku cabut mandat kuasa milu 2024,-2,negative
emoga semesta merestui rakyat biasa menentukan nasibnya sendiri lewat prima di pemilu  nanti ð?ð?»,"['kpu', 'cilacap', 'dps', 'milu', '2024', 'rapat', 'pleno', 'buka', 'cilacapdotinfo', 'newscilacap']",kpu cilacap dps milu 2024 rapat pleno buka cilacapdotinfo newscilacap,-2,negative
apat leno ekapitulasi  di tingkat ecamatan ini diselenggarakan di ula elurahan embeyan ulon pada hari abtu  dihadiri oleh orkopincam ketua anwascam perwakilan peserta pemilu  oleh partai politik  dan  beserta staf seecamatan embeyan,"['jumat', '31', 'maret', '2023rapat', 'pleno', 'buka', 'rekapitulasi', 'dphp', 'milu', '2024', 'pps', 'camat', 'kudu', 'hadir', 'anggota', 'ppk', 'camat', 'kudukpumelayani', 'kpujombang', 'kpujatim', 'kpuri', 'ppkkecamatankudu', 'temanpemilih', 'milu', '2024']",jumat 31 maret 2023rapat pleno buka rekapitulasi dphp milu 2024 pps camat kudu hadir anggota ppk camat kudukpumelayani kpujombang kpujatim kpuri ppkkecamatankudu temanpemilih milu 2024,-2,negative
liat nanti setelah pemilu  partai ini tidak akan masuk  gw acak ini partai,"['kpu', 'kabupaten', 'banjarnegara', 'tetap', 'dps', 'milu', '2024', 'simak', 'lengkap']",kpu kabupaten banjarnegara tetap dps milu 2024 simak lengkap,0,neutral
antik ader erindo ngin nternal artai olid pada emilu,"['kesah', 'paerppu', 'pemilupuan', 'pasti', 'milu', '2024', 'sesuai', 'jadwalpolitikidentitaspemilujujurmoneypolitik']",kesah paerppu pemilupuan pasti milu 2024 sesuai jadwalpolitikidentitaspemilujujurmoneypolitik,8,positive
emudian nggota    ulianto udrajat memberikan pengarahan persiapan logistik untuk emilu  antara lain persiapan aplikasi ilog istem ogistik yakni  mencakup proses perencanaan pengadaan  pendistribusian kepada   abutane kota,"['tangan', 'generasi', 'muda', 'milik', 'komitmen', 'tinggi', 'penting', 'rakyat', 'hrs', 'pilih', 'pd', 'milu', '2024']",tangan generasi muda milik komitmen tinggi penting rakyat hrs pilih pd milu 2024,-5,negative
apolsek ompreng    di akili anit inmas olsek ompreng iptu unanto menghadiri kegiatan apat pleno tebuka  ekapitulasi aftar emilih asil emutakhiran  emilu  tingkat kec ompreng kab ubang yang yang di selenggarakan  ec ompreng,"['milu', '2024', 'ketua', 'drp', 'ri', 'laksana', 'sesuai', 'jadwal', 'politikidentitaspemilujujurmoneypolitik']",milu 2024 ketua drp ri laksana sesuai jadwal politikidentitaspemilujujurmoneypolitik,3,positive
balihomu guede sampe amoh ga ada tulisan calon tp langsung ditulis presiden  tibak e mok terimo dadi cawapres wkwkwk Ã°Å¸Â¤Â£,"['ba', 'dps', 'milu', '2024', 'kab', 'demak']",ba dps milu 2024 kab demak,0,neutral
akal calon presiden capres rabowo ubianto mengaku santai mendengar kabar rencana duet nies aswedan dan uhaimin skandar alias ak min di ilpres  acana duet niesak min dibocorkan oleh ekjen emokrat euku iefky arsya,"['perppu', 'milu', 'sah', 'dpri', 'milu', '2024', 'sesuai', 'jadwalpolitikidentitaspemilujujurmoneypolitik']",perppu milu sah dpri milu 2024 sesuai jadwalpolitikidentitaspemilujujurmoneypolitik,3,positive
Ã°Å¸Â¤Â£Ã°Å¸Â¤Â£Ã°Å¸Â¤Â£Ã°Å¸Â¤Â£,"['rekapitulasi', 'dps', 'milu', '2024', 'kabupaten', 'purworejoppstlogosonoppkgebang', '2024']",rekapitulasi dps milu 2024 kabupaten purworejoppstlogosonoppkgebang 2024,0,neutral
waduh kok iso  kardus duren jadi teman baru bank  apakah serius menjadi calon presiden indonesia,"['puan', 'maharani', 'ketua', 'dpri', 'milu', '2024', 'sesuai', 'jadwalpolitikidentitaspemilujujurmoneypolitik']",puan maharani ketua dpri milu 2024 sesuai jadwalpolitikidentitaspemilujujurmoneypolitik,3,positive
anjar ranowo calon residen  pilihan rakyat ndonesia,"['ketua', 'kpu', 'skrng', 'amoral', 'akhlak', 'rusak', 'milu', '2024', 'ganti', 'ketua', 'kpu', 'nyamaka', 'harap', 'milu', '2024', 'jurdi']",ketua kpu skrng amoral akhlak rusak milu 2024 ganti ketua kpu nyamaka harap milu 2024 jurdi,0,neutral
anjar ranowo sebagai bakal calon presiden bacapres  dari  menunjukkan optimisme bahwa kaum santriwati bisa menyongsong ndonesia mas,"['ketua', 'dpri', 'puan', 'maharani', 'laksana', 'milu', '2024', 'laksana', 'sesuai', 'jadwal', 'politikidentitaspemilujujurmoneypolitik']",ketua dpri puan maharani laksana milu 2024 laksana sesuai jadwal politikidentitaspemilujujurmoneypolitik,3,positive
ader artai emokrat di ceh melampiaskan kekecewaan terhadap calon presiden capres nies aswedan yang menyetujui uhaimin skandar atau ak min sebagai pasangannya di ilpres,"['rapat', 'pleno', 'kpu', 'belu', 'tetap', '163009', 'dps', 'milu', '2024']",rapat pleno kpu belu tetap 163009 dps milu 2024,1,positive
ÃâÃâÃâ anjar ranowo sebagai bakal calon presiden bacapres  dari  menunjukkan optimisme bahwa kaum santriwati bisa menyongsong ndonesia mas,"['kpu', 'cilacap', 'dps', 'milu', '2024', 'rapat', 'pleno', 'buka']",kpu cilacap dps milu 2024 rapat pleno buka,-2,negative
sal jangan berkoalisi sama  aja pak anies saya tetap dukung pak anies sebagai calon presiden,"['babinsa', 'rejowinangun', 'kotagede', 'hadir', 'acara', 'rapat', 'pleno', 'rekapitulasi', 'milu', '2024']",babinsa rejowinangun kotagede hadir acara rapat pleno rekapitulasi milu 2024,-3,negative
bajingan nyamene ket tangi,"['dpsah', 'perppu', 'milu', 'milu', '2024', 'laksana', 'sesuai', 'jadwal', 'politikidentitaspemilujujurmoneypolitik']",dpsah perppu milu milu 2024 laksana sesuai jadwal politikidentitaspemilujujurmoneypolitik,3,positive
ore tadi kami mengundang apak etnan enderal  urn rabowo ubianto enteri ertahanan  yang juga etua mum  artai erindra yang juga akal alon residen epublik ndonesia untuk emilu  mendatang cont,"['ketua', 'umum', 'partai', 'demokrat', 'agus', 'harimurti', 'yudhoyono', 'gaet', 'anakanak', 'muda', 'safari', 'ramadhannya', 'kota', 'surakarta', 'jawa', 'tengah', 'milu', '2024', '60', 'persen', 'pilih', 'usia', '40', 'tahun', 'nusantara', 'adadikompas']",ketua umum partai demokrat agus harimurti yudhoyono gaet anakanak muda safari ramadhannya kota surakarta jawa tengah milu 2024 60 persen pilih usia 40 tahun nusantara adadikompas,0,neutral
oalisi erubahan merasa dikhianati atas keputusan sepihak nies aswedan yang memilih uhaimin skandar alon akil residen awapres pada ilpres Ã¢Â?â,"['ketua', 'umum', 'partai', 'demokrat', 'agus', 'harimurti', 'yudhoyono', 'gaet', 'anakanak', 'muda', 'safari', 'ramadhannya', 'kota', 'surakarta', 'jawa', 'tengah', 'milu', '2024', '60', 'persen', 'pilih', 'usia', '40', 'tahun', 'bawahnusantara', 'adadikompas']",ketua umum partai demokrat agus harimurti yudhoyono gaet anakanak muda safari ramadhannya kota surakarta jawa tengah milu 2024 60 persen pilih usia 40 tahun bawahnusantara adadikompas,0,neutral
elihat konstelasi politik yang menghangat bahkan cenderung membara sejak tadi sore  aya akan tetap mendukung nies aswedan sebagai calon residen     ukungan saya berpijak pada hasil kerja amp  prestasi nies aswedan saat menjabat ubernur  akarta  nÃ¢â¬Â¦,"['polres', 'malang', 'depan', 'upaya', 'edukasi', 'masyarakat']",polres malang depan upaya edukasi masyarakat,-8,negative
erespons isu majunya niesuhaimin  tetap mendukung nies sebagai bakal calon presiden capres pada emilu,"['sahabatbawaslu', 'hasil', 'awas', 'rekapitulasi', 'daftar', 'pilih', 'dps', 'kota', 'salatiga', 'milu', '2024', 'milu', '2024', 'ayoawasibersama', 'bawaslusalatiga', 'salatiga', 'viral']",sahabatbawaslu hasil awas rekapitulasi daftar pilih dps kota salatiga milu 2024 milu 2024 ayoawasibersama bawaslusalatiga salatiga viral,-1,negative
artai emokrat akan tetap mendukung nies aswedan di ilpres  sekalipun gus arimurti udhoyono  tak menjadi calon wakil presiden sekalipun atanya siap siapapun cawapres nya Ã°Å¸Â¤Â£sein kanan belok kiri juga ternyata Ã°Å¸Â¤Â£,"['ribu', 'anggota', 'tni', 'polri', 'garut', 'catat', 'pilih', 'milu', '2024']",ribu anggota tni polri garut catat pilih milu 2024,-5,negative
akal calon presiden dari artai asdemÃÂ nies aswedanÃÂ dikabarkan memilih etua mum artai ebangkitan angsa ÃÂ uhaimin skandarÃÂ sebagai bakal calon wakil presiden pada pemilihan presiden pilpres,"['6', 'danrem', 'arah', 'jajar', 'anggota', 'tni', 'jaga', 'aman', 'tertib', 'jelang', 'tahun', 'milu', '2024']",6 danrem arah jajar anggota tni jaga aman tertib jelang tahun milu 2024,-2,negative
ekretaris enderal  ddy oeparno menyampaikan bahwa partainya menjalin kerja sama politik yang erat dengan  untuk mendukung calon residen capres rabowo ubianto dalam emilu  dengan penuh percaya,"['hina', 'hrs', 'paksa', 'mundur', 'milu', '2024', 'hrs', 'selamat']",hina hrs paksa mundur milu 2024 hrs selamat,-4,negative
ni ia calon presiden idaman semua suku agama ras dan antar golongan  ilihan cerdas di Ã°Å¸âÂ?Ã°Å¸âÂ?,"['ekos', 'lenggang', 'pks', 'tatap', 'milu', '2024', 'dukung', 'wako', 'periode']",ekos lenggang pks tatap milu 2024 dukung wako periode,7,positive
Ã°Å¸Â¤â? artai emokrat mendapatkan konfirmasi dari alon residen dari oalisi erubahan nies aswedan ihwal putusannya memilih etua mum artai ebangkitan angsa uhaimin skandar sebagai pendampingnya dalam emilihan residen,"['perppu', 'milu', 'sah', 'milu', '2024', 'sesuai', 'jadwal', 'politikidentitaspemilujujurmoneypolitik']",perppu milu sah milu 2024 sesuai jadwal politikidentitaspemilujujurmoneypolitik,3,positive
artai emokrat mendapatkan konfirmasi dari alon residen dari oalisi erubahan nies aswedan ihwal putusannya memilih etua mum artai ebangkitan angsa uhaimin skandar sebagai pendampingnya dalam emilihan residen   eputusan yang disebut mengejutkan dan sepihakÃ¢â¬Â¦,"['ketua', 'dppastikan', 'milu', '2024', 'sesuai', 'jadwal', 'ditentukanpolitikidentitaspemilujujurmoneypolitik']",ketua dppastikan milu 2024 sesuai jadwal ditentukanpolitikidentitaspemilujujurmoneypolitik,3,positive
us min dari  memang  jadi calon residen,"['salin', 'ba', 'dps', 'milu', '2024', 'kabupaten', 'demak']",salin ba dps milu 2024 kabupaten demak,0,neutral
antap us alon residen,"['perppu', 'milu', 'sah', 'ketua', 'dpr', 'milu', '2024', 'dilaksankan', 'sesuai', 'jadwal', 'politikidentitaspemilujujurmoneypolitik']",perppu milu sah ketua dpr milu 2024 dilaksankan sesuai jadwal politikidentitaspemilujujurmoneypolitik,3,positive
ukses gus alon presiden,"['beritabali', 'kpu', 'denpasar', 'tetap', 'dps', 'milu', '2024', 'perinci', 'kpudenpasarpemilu', '2024']",beritabali kpu denpasar tetap dps milu 2024 perinci kpudenpasarpemilu 2024,3,positive
